index,episode,rewards
4998560,5172,-10.0
5003228,5173,-18.0
5009395,5174,-13.0
5014046,5175,-18.0
5017601,5176,-18.0
5024168,5177,-19.0
5029565,5178,-18.0
5037305,5179,-17.0
5041262,5180,-20.0
5047494,5181,-20.0
5051301,5182,-18.0
5058578,5183,-21.0
5062484,5184,-20.0
5070088,5185,-17.0
5074850,5186,-21.0
5083158,5187,-20.0
5086994,5188,-19.0
5094230,5189,-20.0
5194224,5190,-5.0
5196220,5191,-19.0
5199536,5192,-18.0
5205232,5193,-18.0
5210481,5194,-21.0
5310478,5195,-1.0
5315257,5196,-21.0
5320187,5197,-19.0
5325601,5198,-17.0
5331954,5199,-19.0
5336653,5200,-21.0
5340743,5201,-20.0
5345202,5202,-19.0
5352899,5203,-18.0
5359535,5204,-16.0
5459530,5205,-7.0
5559527,5206,-8.0
5564824,5207,-21.0
5664818,5208,-4.0
5764811,5209,-1.0
5864804,5210,-4.0
5867794,5211,-21.0
5871639,5212,-20.0
5875132,5213,-16.0
5879407,5214,-21.0
5883558,5215,-17.0
5889246,5216,-15.0
5892353,5217,-20.0
5896544,5218,-20.0
5904027,5219,-17.0
5908898,5220,-16.0
5915274,5221,-19.0
5920933,5222,-19.0
5924987,5223,-18.0
5928441,5224,-20.0
5933276,5225,-16.0
5938367,5226,-16.0
5945108,5227,-14.0
5950916,5228,-17.0
5959388,5229,-18.0
5965241,5230,-20.0
5976387,5231,-16.0
5985170,5232,-16.0
5991430,5233,-19.0
5995599,5234,-21.0
5999237,5235,-18.0
6004675,5236,-17.0
6013907,5237,-12.0
6018536,5238,-16.0
6024762,5239,-19.0
6034477,5240,-14.0
6134470,5241,-9.0
6140039,5242,-18.0
6145498,5243,-16.0
6150338,5244,-15.0
6157337,5245,-19.0
6163419,5246,-20.0
6170277,5247,-17.0
6178372,5248,-8.0
6185461,5249,-16.0
6191752,5250,-14.0
6200361,5251,-14.0
6206528,5252,-17.0
6211416,5253,-18.0
6219294,5254,-18.0
6228375,5255,-12.0
6234885,5256,-16.0
6239522,5257,-17.0
6247440,5258,-7.0
6257371,5259,-5.0
6357371,5260,-1.0
6363057,5261,-17.0
6366596,5262,-17.0
6372345,5263,-18.0
6375023,5264,-20.0
6386898,5265,-13.0
6393997,5266,-19.0
6493995,5267,-10.0
6500987,5268,-11.0
6505023,5269,-18.0
6513580,5270,-12.0
6521148,5271,-7.0
6527698,5272,-8.0
6533701,5273,-12.0
6537644,5274,-19.0
6550850,5275,-4.0
6556365,5276,-19.0
6562321,5277,-14.0
6568310,5278,-8.0
6668309,5279,-8.0
6768304,5280,-8.0
6771393,5281,-19.0
6775096,5282,-18.0
6779373,5283,-16.0
6784352,5284,-16.0
6790786,5285,-14.0
6796316,5286,-9.0
6800392,5287,-17.0
6804212,5288,-21.0
6809098,5289,-17.0
6813165,5290,-15.0
6818048,5291,-15.0
6821500,5292,-21.0
6824740,5293,-16.0
6827710,5294,-20.0
6833436,5295,-10.0
6838592,5296,-14.0
6845288,5297,-12.0
6945282,5298,-5.0
6947996,5299,-20.0
6952131,5300,-17.0
6954814,5301,-16.0
6958049,5302,-20.0
6960642,5303,-18.0
6964150,5304,-17.0
6968959,5305,-16.0
6972148,5306,-18.0
6977221,5307,-20.0
6983833,5308,-16.0
6991053,5309,-11.0
6997343,5310,-15.0
7004196,5311,-14.0
7010043,5312,-13.0
7015054,5313,-16.0
7022751,5314,-7.0
7030156,5315,-15.0
7038148,5316,-11.0
7045762,5317,-9.0
7051988,5318,-13.0
7058911,5319,-14.0
7063365,5320,-20.0
7071138,5321,-4.0
7076556,5322,-13.0
7081696,5323,-16.0
7091996,5324,-11.0
7098416,5325,-16.0
7104906,5326,-6.0
7111301,5327,-15.0
7121339,5328,-3.0
7128469,5329,-16.0
7136157,5330,-7.0
7144742,5331,-14.0
7151677,5332,-17.0
7161614,5333,-6.0
7170312,5334,-15.0
7176949,5335,-13.0
7186103,5336,-14.0
7196952,5337,-2.0
7205405,5338,-10.0
7215600,5339,-4.0
7221352,5340,-10.0
7230946,5341,-6.0
7239457,5342,-6.0
7246347,5343,-13.0
7252074,5344,-14.0
7259153,5345,-13.0
7265576,5346,-5.0
7271675,5347,-15.0
7277279,5348,-15.0
7283324,5349,-16.0
7288084,5350,-15.0
7294848,5351,-10.0
7299031,5352,-18.0
7306461,5353,-12.0
7311555,5354,-18.0
7319031,5355,-12.0
7327423,5356,-5.0
7334521,5357,-6.0
7339303,5358,-10.0
7344166,5359,-18.0
7347326,5360,-18.0
7353025,5361,-14.0
7359237,5362,-15.0
7367279,5363,-1.0
7374200,5364,-4.0
7379645,5365,-15.0
7386524,5366,-18.0
7393256,5367,-13.0
7399823,5368,-15.0
7405293,5369,-18.0
7412519,5370,-15.0
7417324,5371,-20.0
7421051,5372,-18.0
7426774,5373,-13.0
7434175,5374,-14.0
7442834,5375,-10.0
7448877,5376,-13.0
7458291,5377,-4.0
7463292,5378,-15.0
7470889,5379,-15.0
7476740,5380,-10.0
7481938,5381,11.0
7488490,5382,-9.0
7493418,5383,-16.0
7498830,5384,-18.0
7504358,5385,-15.0
7510425,5386,-13.0
7517583,5387,-2.0
7525100,5388,-18.0
7532664,5389,-10.0
7540676,5390,-2.0
7548499,5391,-13.0
7555192,5392,-11.0
7565830,5393,-3.0
7574397,5394,-15.0
7583752,5395,-10.0
7592872,5396,-6.0
7600982,5397,5.0
7608085,5398,-12.0
7613312,5399,-16.0
7621567,5400,-14.0
7629946,5401,-15.0
7638531,5402,-1.0
7649064,5403,-4.0
7654854,5404,-14.0
7660429,5405,8.0
7668206,5406,-16.0
7681980,5407,-9.0
7690591,5408,-9.0
7697406,5409,-14.0
7707285,5410,-9.0
7718276,5411,-13.0
7729944,5412,-2.0
7739287,5413,-12.0
7746754,5414,8.0
7749864,5415,18.0
7757872,5416,-12.0
7766404,5417,-6.0
7772355,5418,-8.0
7783584,5419,-14.0
7789376,5420,-18.0
7791790,5421,21.0
7794278,5422,20.0
7796526,5423,20.0
7803250,5424,-19.0
7812482,5425,-4.0
7817074,5426,14.0
7820484,5427,16.0
7824370,5428,14.0
7828206,5429,-18.0
7834761,5430,-17.0
7842960,5431,-10.0
7849960,5432,-18.0
7858698,5433,7.0
7866175,5434,-13.0
7876201,5435,-10.0
7884499,5436,-13.0
7984494,5437,-1.0
7989087,5438,9.0
7996029,5439,-15.0
8002448,5440,-13.0
8011472,5441,-6.0
8018075,5442,-16.0
8025553,5443,2.0
8030722,5444,14.0
8038443,5445,-12.0
8048747,5446,-7.0
8055064,5447,7.0
8064508,5448,-6.0
8072932,5449,-16.0
8078055,5450,14.0
8084554,5451,-11.0
8090091,5452,9.0
8094739,5453,13.0
8098631,5454,17.0
8104905,5455,13.0
8111062,5456,-14.0
8113992,5457,18.0
8116772,5458,19.0
8119040,5459,19.0
8127689,5460,-8.0
8135158,5461,-6.0
8141862,5462,13.0
8144140,5463,21.0
8152979,5464,-10.0
8160671,5465,15.0
8167333,5466,-8.0
8172617,5467,14.0
8174608,5468,21.0
8179652,5469,13.0
8182013,5470,20.0
8186933,5471,17.0
8189263,5472,18.0
8192212,5473,16.0
8194939,5474,18.0
8203304,5475,3.0
8214253,5476,-2.0
8225113,5477,-1.0
8229438,5478,13.0
8236864,5479,-10.0
8248564,5480,-7.0
8250919,5481,20.0
8253430,5482,20.0
8260915,5483,9.0
8264709,5484,18.0
8273033,5485,-12.0
8278423,5486,17.0
8289791,5487,-9.0
8297175,5488,4.0
8299508,5489,20.0
8305412,5490,-16.0
8310158,5491,15.0
8320584,5492,-2.0
8322574,5493,21.0
8329746,5494,10.0
8335236,5495,18.0
8338810,5496,20.0
8343478,5497,13.0
8350145,5498,9.0
8360046,5499,-8.0
8364135,5500,15.0
8366802,5501,19.0
8370237,5502,18.0
8372752,5503,19.0
8376161,5504,16.0
8377813,5505,21.0
8379466,5506,21.0
8384171,5507,-2.0
8389290,5508,11.0
8392307,5509,15.0
8396473,5510,7.0
8398615,5511,20.0
8401197,5512,15.0
8403155,5513,21.0
8404803,5514,21.0
8408474,5515,13.0
8411700,5516,15.0
8414207,5517,20.0
8417862,5518,17.0
8422839,5519,10.0
8428559,5520,4.0
8433889,5521,-17.0
8435873,5522,19.0
8443940,5523,2.0
8451481,5524,3.0
8457929,5525,10.0
8461815,5526,12.0
8464659,5527,19.0
8472780,5528,3.0
8477243,5529,15.0
8479940,5530,20.0
8484571,5531,14.0
8492467,5532,7.0
8496678,5533,12.0
8500315,5534,12.0
8502957,5535,19.0
8505929,5536,18.0
8507843,5537,21.0
8510361,5538,17.0
8516061,5539,8.0
8519925,5540,16.0
8522702,5541,19.0
8525521,5542,19.0
8531575,5543,8.0
8534683,5544,18.0
8536924,5545,20.0
8540265,5546,18.0
8543911,5547,16.0
8547456,5548,16.0
8549941,5549,19.0
8552467,5550,19.0
8557088,5551,11.0
8559472,5552,20.0
8565921,5553,-10.0
8570781,5554,9.0
8576926,5555,8.0
8579687,5556,19.0
8586025,5557,7.0
8588337,5558,19.0
8591472,5559,19.0
8597101,5560,12.0
8600758,5561,14.0
8603750,5562,18.0
8606185,5563,19.0
8608534,5564,21.0
8611728,5565,17.0
8614770,5566,19.0
8617480,5567,19.0
8619416,5568,21.0
8621512,5569,20.0
8623522,5570,20.0
8631256,5571,-14.0
8633549,5572,20.0
8637512,5573,17.0
8640757,5574,18.0
8645880,5575,9.0
8650398,5576,9.0
8652159,5577,21.0
8655889,5578,16.0
8658396,5579,19.0
8660910,5580,20.0
8662710,5581,21.0
8669828,5582,7.0
8675050,5583,10.0
8678570,5584,16.0
8680446,5585,19.0
8682684,5586,21.0
8685928,5587,19.0
8688223,5588,20.0
8695230,5589,-10.0
8699548,5590,15.0
8701475,5591,20.0
8705425,5592,13.0
8709162,5593,12.0
8711598,5594,17.0
8715769,5595,13.0
8718138,5596,20.0
8721027,5597,18.0
8724098,5598,17.0
8726711,5599,17.0
8728933,5600,20.0
8732446,5601,15.0
8735084,5602,18.0
8741261,5603,7.0
8745553,5604,13.0
8752338,5605,4.0
8754874,5606,21.0
8758842,5607,15.0
8761580,5608,18.0
8765477,5609,10.0
8772014,5610,4.0
8774551,5611,17.0
8783688,5612,-17.0
8788865,5613,15.0
8792398,5614,16.0
8799655,5615,-15.0
8802442,5616,19.0
8805935,5617,17.0
8813114,5618,12.0
8815105,5619,21.0
8820853,5620,9.0
8825190,5621,11.0
8833188,5622,2.0
8836078,5623,19.0
8838065,5624,21.0
8840436,5625,20.0
8844632,5626,12.0
8847556,5627,17.0
8852096,5628,14.0
8855859,5629,17.0
8859724,5630,15.0
8863752,5631,15.0
8873286,5632,-6.0
8879733,5633,-17.0
8881770,5634,20.0
8884527,5635,18.0
8887865,5636,17.0
8892202,5637,13.0
8895559,5638,17.0
8898059,5639,18.0
8902223,5640,13.0
8909514,5641,9.0
8912973,5642,14.0
8918728,5643,6.0
8925241,5644,6.0
8930299,5645,10.0
8932892,5646,21.0
8937071,5647,16.0
8939804,5648,15.0
8946819,5649,6.0
8952587,5650,8.0
8955133,5651,19.0
8957869,5652,19.0
8963099,5653,10.0
8969661,5654,-15.0
8972023,5655,19.0
8977378,5656,13.0
8983186,5657,11.0
8986477,5658,20.0
8991391,5659,10.0
8994377,5660,18.0
8996652,5661,20.0
8999320,5662,18.0
9001310,5663,21.0
9008348,5664,-13.0
9012377,5665,13.0
9016546,5666,20.0
9018842,5667,21.0
9021470,5668,20.0
9024098,5669,20.0
9026832,5670,19.0
9034813,5671,9.0
9042357,5672,2.0
9045294,5673,19.0
9051139,5674,8.0
9055587,5675,16.0
9058227,5676,18.0
9060058,5677,21.0
9065678,5678,10.0
9068633,5679,18.0
9071101,5680,19.0
9074132,5681,18.0
9076958,5682,19.0
9080199,5683,17.0
9086045,5684,10.0
9089734,5685,14.0
9091850,5686,20.0
9099036,5687,6.0
9101896,5688,18.0
9106893,5689,8.0
9112629,5690,9.0
9119101,5691,4.0
9124802,5692,8.0
9126917,5693,21.0
9130480,5694,17.0
9132236,5695,21.0
9135323,5696,18.0
9137326,5697,19.0
9141115,5698,20.0
9144138,5699,16.0
9152306,5700,4.0
9156707,5701,14.0
9166243,5702,6.0
9171164,5703,9.0
9178713,5704,5.0
9181127,5705,21.0
9183914,5706,19.0
9186601,5707,20.0
9189750,5708,16.0
9191984,5709,21.0
9194828,5710,19.0
9198368,5711,18.0
9200783,5712,21.0
9203948,5713,18.0
9207100,5714,19.0
9210169,5715,19.0
9213912,5716,16.0
9215610,5717,21.0
9217940,5718,20.0
9220207,5719,20.0
9222499,5720,21.0
9224606,5721,21.0
9230213,5722,13.0
9232341,5723,20.0
9234851,5724,20.0
9237140,5725,21.0
9239250,5726,21.0
9241699,5727,20.0
9248934,5728,10.0
9255193,5729,5.0
9259810,5730,15.0
9264517,5731,16.0
9267637,5732,15.0
9272697,5733,9.0
9276655,5734,15.0
9282054,5735,12.0
9284708,5736,19.0
9288801,5737,-9.0
9291616,5738,19.0
9295339,5739,18.0
9297234,5740,20.0
9301710,5741,14.0
9307165,5742,2.0
9310775,5743,14.0
9315162,5744,11.0
9318615,5745,15.0
9322693,5746,12.0
9326484,5747,15.0
9330855,5748,11.0
9333731,5749,17.0
9336269,5750,21.0
9340044,5751,18.0
9345122,5752,12.0
9347729,5753,19.0
9352032,5754,15.0
9354265,5755,21.0
9357062,5756,19.0
9359997,5757,20.0
9362639,5758,17.0
9364350,5759,21.0
9367647,5760,18.0
9369582,5761,21.0
9372755,5762,13.0
9375947,5763,16.0
9381549,5764,7.0
9386328,5765,3.0
9388264,5766,21.0
9392321,5767,15.0
9395075,5768,19.0
9397015,5769,20.0
9398995,5770,19.0
9402436,5771,18.0
9405320,5772,20.0
9407648,5773,20.0
9409441,5774,19.0
9412833,5775,17.0
9415248,5776,18.0
9418630,5777,14.0
9421078,5778,18.0
9423962,5779,17.0
9428637,5780,14.0
9431488,5781,14.0
9434932,5782,19.0
9437354,5783,19.0
9440654,5784,18.0
9444159,5785,17.0
9446485,5786,20.0
9449693,5787,18.0
9451880,5788,19.0
9454880,5789,19.0
9458999,5790,14.0
9461093,5791,20.0
9463431,5792,18.0
9466135,5793,20.0
9473420,5794,9.0
9476155,5795,18.0
9480059,5796,15.0
9484218,5797,17.0
9486600,5798,19.0
9489784,5799,15.0
9492049,5800,20.0
9501333,5801,1.0
9504671,5802,15.0
9506568,5803,19.0
9510931,5804,17.0
9515044,5805,16.0
9518152,5806,15.0
9521968,5807,14.0
9524777,5808,20.0
9528600,5809,13.0
9533020,5810,11.0
9537202,5811,14.0
9539189,5812,21.0
9541729,5813,18.0
9547271,5814,1.0
9549746,5815,20.0
9552045,5816,20.0
9553620,5817,21.0
9555609,5818,21.0
9557960,5819,21.0
9562489,5820,12.0
9564845,5821,16.0
9567424,5822,18.0
9569719,5823,21.0
9574150,5824,-8.0
9577894,5825,11.0
9580774,5826,17.0
9582888,5827,21.0
9589330,5828,-13.0
9591027,5829,21.0
9593699,5830,19.0
9599201,5831,3.0
9605570,5832,4.0
9608762,5833,16.0
9610584,5834,20.0
9613858,5835,15.0
9616508,5836,18.0
9618835,5837,20.0
9621841,5838,17.0
9624207,5839,19.0
9625859,5840,21.0
9628187,5841,20.0
9630179,5842,21.0
9632359,5843,21.0
9634351,5844,21.0
9637104,5845,19.0
9639371,5846,20.0
9641575,5847,20.0
9646338,5848,-21.0
9650895,5849,11.0
9655855,5850,-5.0
9658830,5851,14.0
9664266,5852,9.0
9668939,5853,10.0
9671145,5854,19.0
9673473,5855,20.0
9677606,5856,10.0
9682085,5857,6.0
9687632,5858,5.0
9690739,5859,18.0
9692853,5860,21.0
9695268,5861,20.0
9699726,5862,-5.0
9704229,5863,13.0
9706983,5864,20.0
9709440,5865,18.0
9711073,5866,21.0
9713826,5867,20.0
9715999,5868,20.0
9721833,5869,-11.0
9725613,5870,12.0
9727758,5871,20.0
9729975,5872,21.0
9734096,5873,12.0
9742350,5874,4.0
9745321,5875,21.0
9747652,5876,19.0
9750741,5877,17.0
9754911,5878,12.0
9765326,5879,1.0
9767318,5880,21.0
9770388,5881,17.0
9774990,5882,12.0
9777544,5883,20.0
9779283,5884,20.0
9781657,5885,20.0
9784157,5886,17.0
9787458,5887,17.0
9789150,5888,21.0
9793374,5889,13.0
9794946,5890,21.0
9802164,5891,4.0
9804918,5892,18.0
9806672,5893,21.0
9809086,5894,18.0
9811590,5895,19.0
9813917,5896,17.0
9820020,5897,-15.0
9822803,5898,17.0
9825785,5899,18.0
9828350,5900,19.0
